"abstain","date","kind","no","notParticipating","sitting","sittingDay","term","title","topic","totalVoted","votes.MP","votes.club","votes.firstName","votes.lastName","votes.secondName","votes.vote","votingNumber","yes"
0,"2023-12-19T14:37:04","ELECTRONIC",239,38,1,11,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","wniosek o odroczenie posiedzenia",422,1,"PiS","Andrzej","Adamczyk","Mieczysław","YES",111,183
0,"2023-12-19T14:37:04","ELECTRONIC",239,38,1,11,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","wniosek o odroczenie posiedzenia",422,2,"KO","Piotr","Adamowicz",NA,"NO",111,183
0,"2023-12-19T14:37:04","ELECTRONIC",239,38,1,11,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","wniosek o odroczenie posiedzenia",422,3,"PiS","Adam","Andruszkiewicz",NA,"YES",111,183
0,"2023-12-19T14:37:04","ELECTRONIC",239,38,1,11,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","wniosek o odroczenie posiedzenia",422,4,"PiS","Waldemar","Andzel","Franciszek","YES",111,183
0,"2023-12-19T14:37:04","ELECTRONIC",239,38,1,11,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","wniosek o odroczenie posiedzenia",422,5,"PiS","Dorota","Arciszewska-Mielewczyk","Irvina","ABSENT",111,183
0,"2023-12-19T14:37:04","ELECTRONIC",239,38,1,11,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","wniosek o odroczenie posiedzenia",422,6,"PiS","Jan","Ardanowski","Krzysztof","YES",111,183
0,"2023-12-19T14:37:04","ELECTRONIC",239,38,1,11,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","wniosek o odroczenie posiedzenia",422,7,"PiS","Iwona","Arent","Ewa","ABSENT",111,183
0,"2023-12-19T14:37:04","ELECTRONIC",239,38,1,11,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","wniosek o odroczenie posiedzenia",422,8,"KO","Bartosz","Arłukowicz","Adam","NO",111,183
0,"2023-12-19T14:37:04","ELECTRONIC",239,38,1,11,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","wniosek o odroczenie posiedzenia",422,9,"PiS","Marek","Ast",NA,"YES",111,183
0,"2023-12-19T14:37:04","ELECTRONIC",239,38,1,11,10,"1. posiedzenie Sejmu RP w dniach 13, 14, 21, 22, 28 i 29 listopada oraz 6, 7, 11, 12, 19, 20 i 21 grudnia 2023 r.","wniosek o odroczenie posiedzenia",422,10,"KO","Urszula","Augustyn",NA,"NO",111,183
